artist,artist_id,track,track_duration(s),composer,audio_path,youtube_links,audio_duration,composition_id,audio_new_path,midi_path,album,album_date,split,score_path
Vladimir Horowitz,2.0,"Kinderszenen, Op. 15: XIII. Der Dichter spricht",127.373,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/13._Der_Dichter_spricht/16.mp3",https://www.youtube.com/watch?v=dX_bI36uHLc,128.0,192,"Robert_Schumann/Kinderszenen,_Op._15/13._Der_Dichter_spricht/00591.mp3","Robert_Schumann/Kinderszenen,_Op._15/13._Der_Dichter_spricht/00591.mid",The Original Jacket Collection- Vladimir Horowitz,1928,train,
Vladimir Horowitz,2.0,"Kinderszenen, Op. 15: XIII. Der Dichter spricht",126.866,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/13._Der_Dichter_spricht/4.mp3",https://www.youtube.com/watch?v=jEy8pKzwqlM,126.0,192,"Robert_Schumann/Kinderszenen,_Op._15/13._Der_Dichter_spricht/00585.mp3","Robert_Schumann/Kinderszenen,_Op._15/13._Der_Dichter_spricht/00585.mid",Horowitz the Poet,1991-01-01,train,
Wilhelm Kempff,28.0,"Kinderszenen, Op. 15: No. 9 Ritter vom Steckenpferd",47.573,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/9._Ritter_vom_Steckenpferd/35.mp3",https://www.youtube.com/watch?v=s64bmPXRM90,47.0,193,"Robert_Schumann/Kinderszenen,_Op._15/9._Ritter_vom_Steckenpferd/00632.mp3","Robert_Schumann/Kinderszenen,_Op._15/9._Ritter_vom_Steckenpferd/00632.mid",Concerto pour piano - Scènes d'enfants - Carnaval,2005-01-01,train,
Vladimir Horowitz,2.0,"Kinderszenen, Op. 15: No. 9, Ritter vom Steckenpferd",38.96,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/9._Ritter_vom_Steckenpferd/6.mp3",https://www.youtube.com/watch?v=anwsz-mQN0I,39.0,193,"Robert_Schumann/Kinderszenen,_Op._15/9._Ritter_vom_Steckenpferd/00617.mp3","Robert_Schumann/Kinderszenen,_Op._15/9._Ritter_vom_Steckenpferd/00617.mid","Vladimir Horowitz in Recital at the Royal Festival Hall, London, May 22, 1982",1983,train,
Vladimir Horowitz,2.0,"Kinderszenen, Op. 15: IX. Ritter von Steckenpferd",36.56,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/9._Ritter_vom_Steckenpferd/15.mp3",https://www.youtube.com/watch?v=7fpmJ4IiSGk,37.0,193,"Robert_Schumann/Kinderszenen,_Op._15/9._Ritter_vom_Steckenpferd/00620.mp3","Robert_Schumann/Kinderszenen,_Op._15/9._Ritter_vom_Steckenpferd/00620.mid",The Original Jacket Collection- Vladimir Horowitz,1928,train,
Vladimir Horowitz,2.0,"Kinderszenen, Op. 15: No. 4, Bittendes Kind",55.253,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/6.mp3",https://www.youtube.com/watch?v=W1m8ijtylGU,56.0,194,"Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/00641.mp3","Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/00641.mid","Vladimir Horowitz in Recital at the Royal Festival Hall, London, May 22, 1982",1983,train,
Vladimir Ashkenazy,6.0,"Kinderszenen, Op. 15: 4. Bittendes Kind",60.226000000000006,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/18.mp3",https://www.youtube.com/watch?v=b637tJbWsGY,60.0,194,"Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/00646.mp3","Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/00646.mid",Schumann: Piano Works Vol. 3,1988-09-01,train,
Wilhelm Kempff,28.0,"Kinderszenen, Op. 15: No. 4 Bittendes Kind",51.533,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/37.mp3",https://www.youtube.com/watch?v=nt364FPFL_s,51.0,194,"Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/00661.mp3","Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/00661.mid",Concerto pour piano - Scènes d'enfants - Carnaval,2005-01-01,train,
Alfred Brendel,19.0,"Kinderszenen, Op. 15: 4. Bittendes Kind",47.933,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/30.mp3",https://www.youtube.com/watch?v=lnEOJpJTccY,47.0,194,"Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/00655.mp3","Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/00655.mid",Schumann: Kreisleriana; Kinderszenen; Fantasiestücke,1992-01-01,train,
Vladimir Horowitz,2.0,"Kinderszenen, Op. 15: IV. Bittendes Kind",56.506,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/14.mp3",https://www.youtube.com/watch?v=tFPPvEC0qAc,57.0,194,"Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/00643.mp3","Robert_Schumann/Kinderszenen,_Op._15/4._Bittendes_Kind/00643.mid",The Original Jacket Collection- Vladimir Horowitz,1928,train,
Daniel Barenboim,9.0,"Kinderszenen, Op.15: 3. Hasche-Mann",34.493,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/3._Hasche-Mann/25.mp3",https://www.youtube.com/watch?v=xZZiEkiPoXA,34.0,195,"Robert_Schumann/Kinderszenen,_Op._15/3._Hasche-Mann/00679.mp3","Robert_Schumann/Kinderszenen,_Op._15/3._Hasche-Mann/00679.mid",Schumann: Kinderszenen op.15 / Faschingsschwank op.26 / Carnaval op.9,1991-01-01,train,
Vladimir Horowitz,2.0,"Kinderszenen, Op. 15: III. Haschemann",34.133,Robert Schumann,"Robert_Schumann/Kinderszenen,_Op._15/3._Hasche-Mann/12.mp3",https://www.youtube.com/watch?v=T3PO22vRyns,35.0,195,"Robert_Schumann/Kinderszenen,_Op._15/3._Hasche-Mann/00671.mp3","Robert_Schumann/Kinderszenen,_Op._15/3._Hasche-Mann/00671.mid",The Original Jacket Collection- Vladimir Horowitz,1928,train,
