artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links,quality,perf_id,album,album_date,repetition,align_file,album_id,split
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: III. Menuetto: Allegro",175.56,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05813.mid",https://www.youtube.com/watch?v=3_nWHjRc88Y,,5813,"Beethoven: Sonatas Nos. 3, 7 & 19",2009-07-08,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05813_infer_corresp.txt",62,train
Daniel Barenboim,2,"Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",174.84,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05821.mid",https://www.youtube.com/watch?v=JLb7xotkrXA,,5821,Beethoven: Complete Piano Sonatas & Diabelli Variations,2021-08-20,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05821_infer_corresp.txt",17,train
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",189.346,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05822.mid",https://www.youtube.com/watch?v=1Gvd1JJBMdc,,5822,Beethoven: Piano Sonatas Nos. 7-12,2020-10-30,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05822_infer_corresp.txt",40,train
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: 3. Menuetto. Allegro",175.8,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05824.mid",https://www.youtube.com/watch?v=Mb9ewBiq1-o,,5824,Beethoven For All - The Piano Sonatas,2006-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05824_infer_corresp.txt",7,train
Daniel Barenboim,2,"Piano Sonata No. 7 In D Major, Op. 10, No. 3: 3. Menuetto (Allegro)",172.133,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05825.mid",https://www.youtube.com/watch?v=BalJo_TYEyw,,5825,Beethoven: The Piano Sonatas,1984-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05825_infer_corresp.txt",69,test
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",175.546,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05826.mid",https://www.youtube.com/watch?v=fR3BtiCzxeg,,5826,"Milestones of a Piano Legend: Claudio Arrau Plays Beethoven, Vol. 2",2021-08-06,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05826_infer_corresp.txt",89,train
Claudio Arrau,1,"Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",175.613,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05827.mid",https://www.youtube.com/watch?v=sJdnnoLI9fY,,5827,Icon: Claudio Arrau,2011-02-21,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05827_infer_corresp.txt",83,train
Claudio Arrau,1,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",179.0,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05828.mid",https://www.youtube.com/watch?v=9Z0nrjQ--lo,,5828,Beethoven: Complete Piano Sonatas,2012-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05828_infer_corresp.txt",15,validation
Claudio Arrau,1,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",187.0,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05829.mid",https://www.youtube.com/watch?v=CSiejmkUJqA,,5829,Beethoven: Piano Sonatas Nos. 4 & 7,1986-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05829_infer_corresp.txt",38,train
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",167.16,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05835.mid",https://www.youtube.com/watch?v=GedShIibrNo,,5835,Beethoven: Complete Piano Sonatas & Concertos,2010-01-01,,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05835_infer_corresp.txt",16,train
